Entity,Code,Year,Energy,Primary energy consumption per capita (kWh/person)
Afghanistan,AFG,2021,676.6956,676.6956
Africa,,2021,4027.1172,4027.1172
Albania,ALB,2021,14100.432,14100.432
Algeria,DZA,2021,15914.461,15914.461
American Samoa,ASM,2021,35426.7,35426.7
Angola,AGO,2021,2791.3318,2791.3318
Antigua and Barbuda,ATG,2021,29464.332,29464.332
Argentina,ARG,2021,21328.186,21328.186
Armenia,ARM,2021,17684.547,17684.547
Aruba,ABW,2021,46090.324,46090.324
Asia,,2021,18812.572,18812.572
Australia,AUS,2021,61439.91,61439.91
Austria,AUT,2021,45241.05,45241.05
Azerbaijan,AZE,2021,18974.334,18974.334
Bahamas,BHS,2021,35447.574,35447.574
Bahrain,BHR,2021,161111.2,161111.2
Bangladesh,BGD,2021,2831.1619,2831.1619
Barbados,BRB,2021,23025.998,23025.998
Belarus,BLR,2021,31910.822,31910.822
Belgium,BEL,2021,63592.086,63592.086
Belize,BLZ,2021,7437.5713,7437.5713
Benin,BEN,2021,2484.8179,2484.8179
Bermuda,BMU,2021,46490.223,46490.223
Bhutan,BTN,2021,27785.357,27785.357
Bolivia,BOL,2021,7062.148,7062.148
Bosnia and Herzegovina,BIH,2021,23013.498,23013.498
Botswana,BWA,2021,9385.398,9385.398
Brazil,BRA,2021,16659.977,16659.977
British Virgin Islands,VGB,2021,20316.45,20316.45
Brunei,BRN,2021,103268.1,103268.1
Bulgaria,BGR,2021,32216.705,32216.705
Burkina Faso,BFA,2021,904.72614,904.72614
Burundi,BDI,2021,293.8886,293.8886
Cambodia,KHM,2021,4035.0813,4035.0813
Cameroon,CMR,2021,1593.6196,1593.6196
Canada,CAN,2021,100738.89,100738.89
Cape Verde,CPV,2021,7249.497,7249.497
Cayman Islands,CYM,2021,44166.766,44166.766
Central African Republic,CAF,2021,286.1319,286.1319
Chad,TCD,2021,361.1612,361.1612
Chile,CHL,2021,24462.756,24462.756
China,CHN,2021,30768.826,30768.826
Colombia,COL,2021,11147.847,11147.847
Comoros,COM,2021,1633.7837,1633.7837
Congo,COG,2021,2348.0115,2348.0115
Cook Islands,COK,2021,28943.293,28943.293
Costa Rica,CRI,2021,11957.598,11957.598
Cote d'Ivoire,CIV,2021,2370.5964,2370.5964
Croatia,HRV,2021,24213.969,24213.969
Cuba,CUB,2021,9229.538,9229.538
Cyprus,CYP,2021,23985.012,23985.012
Czechia,CZE,2021,44385.37,44385.37
Democratic Republic of Congo,COD,2021,410.8872,410.8872
Denmark,DNK,2021,32148.652,32148.652
Djibouti,DJI,2021,2785.0718,2785.0718
Dominica,DMA,2021,10547.773,10547.773
Dominican Republic,DOM,2021,9987.583,9987.583
East Timor,TLS,2021,1615.4978,1615.4978
Ecuador,ECU,2021,11923.518,11923.518
Egypt,EGY,2021,9639.12,9639.12
El Salvador,SLV,2021,7076.433,7076.433
Equatorial Guinea,GNQ,2021,12399.339,12399.339
Eritrea,ERI,2021,914.4952,914.4952
Estonia,EST,2021,46380.293,46380.293
Eswatini,SWZ,2021,5981.1123,5981.1123
Ethiopia,ETH,2021,871.5845,871.5845
Europe,,2021,40415.152,40415.152
European Union (27),,2021,37623.633,37623.633
Falkland Islands,FLK,2021,49393.32,49393.32
Faroe Islands,FRO,2021,70956.36,70956.36
Fiji,FJI,2021,9222.848,9222.848
Finland,FIN,2021,57765.715,57765.715
France,FRA,2021,40464.465,40464.465
French Polynesia,PYF,2021,15242.301,15242.301
Gabon,GAB,2021,8009.644,8009.644
Gambia,GMB,2021,931.2733,931.2733
Georgia,GEO,2021,20834.768,20834.768
Germany,DEU,2021,42555.06,42555.06
Ghana,GHA,2021,3483.3625,3483.3625
Greece,GRC,2021,28961.367,28961.367
Greenland,GRL,2021,63520.266,63520.266
Grenada,GRD,2021,9432.062,9432.062
Guam,GUM,2021,44185.305,44185.305
Guatemala,GTM,2021,5712.118,5712.118
Guinea,GIN,2021,1281.525,1281.525
Guinea-Bissau,GNB,2021,677.3281,677.3281
Guyana,GUY,2021,13690.034,13690.034
Haiti,HTI,2021,1030.8809,1030.8809
High-income countries,,2021,56267.426,56267.426
Honduras,HND,2021,5086.9336,5086.9336
Hong Kong,HKG,2021,32466.973,32466.973
Hungary,HUN,2021,29247.697,29247.697
Iceland,ISL,2021,156923.66,156923.66
India,IND,2021,6809.62,6809.62
Indonesia,IDN,2021,7871.8433,7871.8433
Iran,IRN,2021,38225.703,38225.703
Iraq,IRQ,2021,13267.278,13267.278
Ireland,IRL,2021,35991.977,35991.977
Israel,ISR,2021,32588.326,32588.326
Italy,ITA,2021,29723.066,29723.066
Jamaica,JAM,2021,12235.784,12235.784
Japan,JPN,2021,39995.086,39995.086
Jordan,JOR,2021,9183.148,9183.148
Kazakhstan,KAZ,2021,42442.49,42442.49
Kenya,KEN,2021,1952.6938,1952.6938
